year,state,unemployment_rate
2010,NV,0.13267114672483707
2010,NY,0.08745347087690568
2010,OH,0.10025063299318977
2010,OK,0.0647576958175592
2010,OR,0.10591437488566503
2010,PA,0.08153525458079473
2010,PR,0.16364894657646217
2010,RI,0.11631831685681623
2010,SC,0.11094939073807612
2010,SD,0.048678673166221355
2010,TN,0.09797533959752362
2010,TX,0.0825457704134802
2010,UT,0.08263496322201681
2010,VA,0.06822603971904434
2010,VT,0.06227161319073084
2010,WA,0.10008495428379845
2010,WI,0.08414349593509132
2010,WV,0.08429664012075144
2010,WY,0.06882215424162838
2011,AK,0.07618440012759732
2011,AL,0.09557405154222298
2011,AR,0.07877777007973372
2011,AZ,0.0950397592993532
2011,CA,0.11737215436782396
2011,CO,0.08682664746487294
2011,CT,0.09013353173703798
2011,DE,0.07423233628142702
